TARGET_LifeExpectancy,Year,Status,AdultMortality,Alcohol,BMI,Under5LS,Polio,TotalExpenditure,Diphtheria,HIV-AIDS,GDP,Population,Thinness1-19years,IncomeCompositionOfResources,Schooling
67.1,2017,0,24.48762488328631,0.01,19.1,2.9376932552999984,15354.55741536781,8.16,1137056.9424539572,0.08707435427813166,6.01931536349681,17.33409071741254,2.2660451650794027,0.8312391486151733,3.178049716
59.8,2016,0,24.84409796985762,0.01,18.6,2.9520953714828977,623460.9404781192,8.18,960099.4326331308,0.08707435427813166,6.060096567567266,12.699493684396572,2.2757848422133127,0.8233898857477444,3.16227766
57.6,2015,0,24.71111310923789,0.01,18.1,2.9659134209511477,788777.3168343002,8.13,1075650.788521793,0.08707435427813166,6.086340496476666,17.272826361009795,2.282175170655094,0.8078088765964668,3.146426545
55.5,2014,0,24.888244755986296,0.01,17.6,2.983500916724306,1037239.3840642245,8.52,1267438.9046605262,0.08707435427813166,6.136645608981939,15.12302087729162,2.2884854890605406,0.7898280224967801,3.130495168
57.7,2013,0,25.020147820938604,0.01,17.2,3.00021231430997,1092978.4391617521,7.87,1336539.9864385242,0.08707435427813166,4.0726445509965705,14.906963613705653,2.297804940191508,0.7670192275726827,3.082207001
58.9,2012,0,25.194783626557516,0.01,16.7,3.019985664683819,983579.8218650061,9.2,1200965.534732888,0.08707435427813166,5.972592774781014,14.874399900714671,2.303923119602432,0.7520053498341115,3.033150178
57.5,2011,0,25.2815810938399,0.01,16.2,3.0349925142687315,834597.4446850924,9.42,1016685.3317969063,0.08707435427813166,5.786604549580025,12.557894331441437,2.309967443833166,0.7175644572493083,2.983286778
57.0,2010,0,25.53993725135168,0.03,15.7,3.049340686391319,882306.4958892639,8.33,1075650.788521793,0.08707435427813166,5.633001399920574,14.819603720529228,2.3159395445233226,0.7151358559514824,2.949576241
63.0,2009,0,25.879796238941626,0.02,42.1,3.0597005355341427,834597.4446850924,6.73,1016685.3317969063,0.08707435427813166,5.624794951902947,17.097052852775153,2.321841001243155,0.6721303604732035,2.898275349
54.1,2008,0,25.879796238941626,0.03,14.7,3.0697382306692105,623460.9404781192,7.43,756349.86349063,0.08707435427813166,5.359372207547824,14.766915505939302,2.327673343656362,0.6488134075067856,2.846049894
54.5,2007,0,25.71051439242191,0.02,14.2,3.0762599529782153,623460.9404781192,8.7,756349.86349063,0.08707435427813166,3.249137554609745,12.45993161150523,2.3305640618788392,0.6281748394906208,2.810693865
58.5,2006,0,25.795315508926983,0.02,13.8,3.0826514305945647,15354.55741536781,8.79,17674.36843988223,0.08707435427813166,5.168663331476451,16.998509598910733,2.3362954968065646,0.5944984995317297,2.607680962
53.9,2005,0,25.879796238941626,0.01,13.4,1.3758877223251689,184324.0391479949,8.82,219781.72839752983,0.08707435427813166,5.082932381451952,14.676225575809289,2.341961436462256,1.3662748870658963,2.549509757
58.4,2004,0,1.9151625522717897,0.01,13.0,3.088917353880183,117006.38897500282,7.76,138618.33771452794,0.08707435427813166,5.033470721821549,16.9056400037489,2.3475632513358144,0.5090043947769284,2.48997992
55.2,2003,0,26.748313507176427,0.01,12.6,3.088917353880183,106058.38899878375,7.8,101925.88473601644,0.08707435427813166,4.6195163288451955,14.90288089199223,1.0247421796178404,0.5069457605821619,2.42899156
56.2,2002,0,26.95034602078935,0.01,12.2,3.088917353880183,28690.37200363986,8.2,33318.99103639854,0.08707435427813166,4.5970876586434475,12.590504769763822,1.0755738572975508,0.5028398336858094,2.34520788
73.2,2017,0,13.048085012045055,4.6,58.0,-0.0,4134426.361194109,6.0,5152029.43824657,0.08707435427813166,7.626382346540475,10.270662181355965,0.7356234155734541,1.765218458008011,3.768288736
78.7,2016,0,3.7202159278353717,4.51,57.2,0.6472024447423708,3988093.497995187,5.88,4967141.188602725,0.08707435427813166,7.7462185743764165,12.573884344954822,0.7356234155734541,1.761183465769479,3.768288736
75.0,2015,0,13.921692970374044,4.76,56.5,0.6472024447423708,4134426.361194109,5.66,5152029.43824657,0.08707435427813166,7.716844921609511,12.576228314802748,0.7741015077277604,1.7531304017632914,3.768288736
80.6,2014,0,14.089431694787917,5.14,55.8,0.6472024447423708,4134426.361194109,5.59,5152029.43824657,0.08707435427813166,7.685183148011968,7.9865049385539955,0.7741015077277604,1.7251218505538948,3.768288736
75.3,2013,0,14.255038231721151,5.37,55.1,0.6472024447423708,4134426.361194109,5.71,5152029.43824657,0.08707435427813166,7.721005819585666,12.595391433895633,0.8106574991531772,1.6699262807481101,3.646916506
75.4,2012,0,14.499611189467283,5.28,54.3,0.6472024447423708,4134426.361194109,5.34,5152029.43824657,0.08707435427813166,5.875606188487453,12.58218103097734,0.8106574991531772,1.6196447755912553,3.535533906
74.5,2011,0,14.499611189467283,5.79,53.5,0.6472024447423708,3988093.497995187,5.79,4967141.188602725,0.08707435427813166,6.660974169711963,14.889665864612283,0.8454617079835125,1.6043601226978146,3.492849839
73.8,2010,0,0.8115201233588561,5.61,52.6,0.6472024447423708,4134426.361194109,5.87,5152029.43824657,0.08707435427813166,5.7702628085625,14.896404805076802,0.878663289854278,1.5740523654540128,3.464101615
76.5,2009,0,4.006069118758103,5.58,51.7,0.6472024447423708,4134426.361194109,6.1,4967141.188602725,0.08707435427813166,5.608929633509509,10.299474551610182,0.878663289854278,1.5366550143450888,3.405877273
74.6,2008,0,15.130876228406109,5.31,5.8,0.6472024447423708,3845532.770312058,5.86,4787111.417310728,0.08707435427813166,3.5426671853790777,14.911635422222425,0.9103935650542012,1.510796765152632,3.376388603
72.9,2007,0,5.4572871253482385,5.16,49.9,0.6472024447423708,3845532.770312058,6.12,4967141.188602725,0.08707435427813166,5.380177985600423,12.649112882791425,0.9407687208380768,1.4706903760317163,3.286335345
75.0,2006,0,5.8708994591208405,4.54,48.9,0.6472024447423708,3988093.497995187,6.38,4787111.417310728,0.08707435427813166,7.2191819445244265,12.697528888135324,0.9407687208380768,1.4562652226342188,3.301514804
75.8,2005,0,6.06812291808269,4.29,47.9,0.6472024447423708,3845532.770312058,6.27,4787111.417310728,0.08707435427813166,5.041989694699497,13.381250835548572,0.9698920240188253,1.4312239419425377,3.271085447
74.9,2004,0,5.4572871253482385,3.73,42.1,0.6472024447423708,3988093.497995187,6.3,4967141.188602725,0.08707435427813166,6.794027708592427,8.163656176168432,0.997855646154198,1.4170299844257697,3.271085447
69.8,2003,0,5.239649583784954,4.25,46.0,0.6472024447423708,3845532.770312058,6.0,4787111.417310728,0.08707435427813166,6.717245853572772,10.496068263171036,1.0247421796178404,1.3888923410300833,3.255764119
72.4,2002,0,4.533410426861634,3.66,45.0,0.6472024447423708,3845532.770312058,6.26,4787111.417310728,0.08707435427813166,6.615130056313882,10.569443376242877,1.0247421796178404,1.3680069444528344,3.271085447
72.7,2017,0,6.259651014210707,0.45,59.5,2.372775536204813,3571487.1557523236,3.84,4441307.651682969,0.08707435427813166,7.662673230838199,17.501173043177975,1.644635840060048,1.6895138003381804,3.794733192
75.3,2016,0,4.533410426861634,0.01,58.4,2.372775536204813,3571487.1557523236,7.21,4441307.651682969,0.08707435427813166,5.964033355900145,17.481973452936916,1.644635840060048,1.6816621526660598,3.794733192
76.0,2015,0,16.099393259865312,0.53,57.2,2.372775536204813,3571487.1557523236,7.12,4441307.651682969,0.08707435427813166,7.892476590814725,17.46196678835778,1.6344467755668994,1.6660253980113136,3.794733192
75.3,2014,0,16.17126335091246,0.66,56.1,2.372775536204813,3571487.1557523236,6.14,4441307.651682969,0.08707435427813166,7.906221319333024,17.441605871115392,1.6344467755668994,1.6466038338828533,3.794733192
